3pimages.sandbox.paypal.com,173.0.82.102
64.4.247.24-reservedip.paypal.com,64.4.247.24
64.4.247.25-reservedip.paypal.com,64.4.247.25
64.4.247.26-reservedip.paypal.com,64.4.247.26
64.4.247.27-reservedip.paypal.com,64.4.247.27
64.4.247.28-reservedip.paypal.com,64.4.247.28
64.4.247.29-reservedip.paypal.com,64.4.247.29
64.4.247.30-reservedip.paypal.com,64.4.247.30
64.4.247.31-reservedip.paypal.com,64.4.247.31
accounts.paypal.com,173.0.84.139
accounts.sandbox.paypal.com,173.0.82.75
active-api-m.paypal.com,173.0.89.11
active-api-s.paypal.com,173.0.88.125
active-c.sandbox.paypal.com,173.0.82.104
active-history.paypal.com,173.0.93.53
active-mobile.paypal.com,173.0.84.212
active-mobileclient.paypal.com,173.0.89.1
active-pics.paypal.com,173.0.92.62
active-www.paypal.com,173.0.88.2
ad.paypal.com,23.2.112.211
adjvendor.paypal.com,173.0.85.18
admin.paypal.com,173.0.84.10
adnormserv-slc-a.paypal.com,173.0.81.4
adnormserv-slc-b.paypal.com,173.0.81.36
advertising.paypal.com,23.2.112.211
agw.paypal.com,173.0.82.33
aktest.paypal.com,88.221.70.124
altpay.stage.paypal.com,64.4.246.130
announcements.paypal.com,173.0.88.130
api-3t-raz01-silo.paypal.com,66.211.169.140
api-3t-test.sandbox.paypal.com,173.0.82.113
api-3t.paypal.com,173.0.88.101
api-3t.sandbox.paypal.com,173.0.82.83
api-aa-3t.paypal.com,173.0.84.100
api-aa-3t.sandbox.paypal.com,173.0.82.84
api-aa.paypal.com,173.0.84.99
api-aa.sandbox.paypal.com,173.0.82.79
api-m.paypal.com,23.2.118.74
api-m.sandbox.paypal.com,23.2.118.74
api-pxp.paypal.com,184.24.196.94
api-raz01-silo.paypal.com,66.211.169.139
api-s.paypal.com,88.221.60.123
api-s.sandbox.paypal.com,88.221.60.123
api-slingshot.sandbox.paypal.com,173.0.82.96
api-t.paypal.com,216.113.188.70
api.ebaydev01.stage.paypal.com,64.4.246.103
